gene	disease	inheritance
COL5A2	Ehlers-Danlos syndrome, classic type;EHLERS-DANLOS SYNDROME, CLASSIC TYPE	Autosomal dominant inheritance
COL6A1	Bethlem myopathy;BETHLEM MYOPATHY 1	Autosomal dominant inheritance;Autosomal recessive inheritance
COL6A2	BETHLEM MYOPATHY 1, AUTOSOMAL RECESSIVE;BETHLEM MYOPATHY 1, AUTOSOMAL RECESSIVE	
COL6A3	Bethlem myopathy;BETHLEM MYOPATHY 1	Autosomal dominant inheritance;Autosomal recessive inheritance
COL7A1	Dominant dystrophic epidermolysis bullosa with absence of skin;EPIDERMOLYSIS BULLOSA DYSTROPHICA, BART TYPE	Autosomal dominant inheritance
COL8A2	Corneal dystrophy, Fuchs endothelial 1;CORNEAL DYSTROPHY, FUCHS ENDOTHELIAL, 1	
COL9A1	Multiple epiphyseal dysplasia 6;EPIPHYSEAL DYSPLASIA, MULTIPLE, 6 (1 family)	
COL9A2	Stickler syndrome, type 5;STICKLER SYNDROME V (1 family);not provided	Autosomal recessive inheritance
COL9A3	Epiphyseal dysplasia, multiple, 3, with myopathy;EPIPHYSEAL DYSPLASIA, MULTIPLE, 3, WITH MYOPATHY	
COLEC11	Carnevale syndrome;3MC SYNDROME 2	
COLQ	Endplate acetylcholinesterase deficiency;MYASTHENIC SYNDROME, CONGENITAL, 5	
COMP	EPIPHYSEAL DYSPLASIA, MULTIPLE, 1;Pseudoachondroplastic spondyloepiphyseal dysplasia syndrome;Multiple epiphyseal dysplasia 1;Multiple Epiphyseal Dysplasia, Dominant	Autosomal dominant inheritance
COPA	Autoimmune interstitial lung, joint, and kidney disease;AUTOIMMUNE INTERSTITIAL LUNG, JOINT, AND KIDNEY DISEASE	
COQ2	Coenzyme Q10 deficiency, primary 1;COENZYME Q10 DEFICIENCY, PRIMARY, 1	Autosomal recessive inheritance
COQ4	Coenzyme Q10 deficiency, primary, 7;COENZYME Q10 DEFICIENCY, PRIMARY, 7	
COQ6	Coenzyme Q10 deficiency, primary, 6;COENZYME Q10 DEFICIENCY, PRIMARY, 6	
COQ7	Coenzyme Q10 deficiency, primary, 8;COENZYME Q10 DEFICIENCY, PRIMARY, 8 (1 patient)	
COQ8A	Coenzyme Q10 deficiency, primary, 4;Coenzyme Q10 deficiency, primary, 4	
COQ8B	Nephrotic syndrome, type 9;NEPHROTIC SYNDROME, TYPE 9	
COQ9	Coenzyme Q10 deficiency, primary, 5;COENZYME Q10 DEFICIENCY, PRIMARY, 5 (1 patient)	
CORIN	Preeclampsia/eclampsia 5;PREECLAMPSIA/ECLAMPSIA 5	
CORO1A	Immunodeficiency 8;IMMUNODEFICIENCY 8	
COX10	Congenital myasthenic syndrome, acetazolamide-responsive;LEIGH SYNDROME DUE TO MITOCHONDRIAL COMPLEX IV DEFICIENCY	
COX14	Cytochrome-c oxidase deficiency;MITOCHONDRIAL COMPLEX IV DEFICIENCY (1 family)	Autosomal recessive inheritance;Mitochondrial inheritance
COX15	Congenital myasthenic syndrome, acetazolamide-responsive;Cardioencephalomyopathy, fatal infantile, due to cytochrome c oxidase deficiency 2;CARDIOENCEPHALOMYOPATHY, FATAL INFANTILE, DUE TO CYTOCHROME c OXIDASE DEFICIENCY 2	
COX4I2	Exocrine pancreatic insufficiency, dyserythropoietic anemia, and calvarial hyperostosis;EXOCRINE PANCREATIC INSUFFICIENCY, DYSERYTHROPOIETIC ANEMIA, AND CALVARIAL HYPEROSTOSIS	
COX6A1	Charcot-Marie-Tooth disease, recessive intermediate d;CHARCOT-MARIE-TOOTH DISEASE, RECESSIVE INTERMEDIATE D	
COX6B1	Cytochrome-c oxidase deficiency;MITOCHONDRIAL COMPLEX IV DEFICIENCY	Autosomal recessive inheritance;Mitochondrial inheritance
COX7B	Linear skin defects with multiple congenital anomalies 2;LINEAR SKIN DEFECTS WITH MULTIPLE CONGENITAL ANOMALIES 2	
COX8A	Cytochrome-c oxidase deficiency;MITOCHONDRIAL COMPLEX IV DEFICIENCY (1 patient)	Autosomal recessive inheritance;Mitochondrial inheritance
CP	ACERULOPLASMINEMIA;Ceruloplasmin belfast;Deficiency of ferroxidase;Aceruloplasminemia	
CPN1	Anaphylotoxin inactivator deficiency;CARBOXYPEPTIDASE N DEFICIENCY	Autosomal recessive inheritance
CPOX	Coproporphyria;COPROPORPHYRIA	
CPS1	Congenital hyperammonemia, type I;CARBAMOYL PHOSPHATE SYNTHETASE I DEFICIENCY	Autosomal recessive inheritance
CPT1A	Carnitine palmitoyltransferase I deficiency;Carnitine Palmitoyltransferase IA Deficiency	
CPT1C	Spastic paraplegia 73, autosomal dominant;SPASTIC PARAPLEGIA 73, AUTOSOMAL DOMINANT (1 family)	
CPT2	Carnitine palmitoyltransferase II deficiency;Carnitine palmitoyltransferase II deficiency	Autosomal recessive inheritance
CR2	Common variable immunodeficiency 7;IMMUNODEFICIENCY, COMMON VARIABLE, 7	
CRADD	Mental retardation, autosomal recessive 34;MENTAL RETARDATION, AUTOSOMAL RECESSIVE 34	
CRB1	Leber congenital amaurosis 8;Leber congenital amaurosis 8	
CRB2	Focal segmental glomerulosclerosis 9;FOCAL SEGMENTAL GLOMERULOSCLEROSIS 9	
CREBBP	Inborn genetic diseases;MR/ID/DD;Musculoskeletal/Structural (child onset);Neurologic (child onset)	
CRELD1	Atrioventricular septal defect, partial, with heterotaxy syndrome;ATRIOVENTRICULAR SEPTAL DEFECT, PARTIAL, WITH HETEROTAXY SYNDROME	
CRH	Autosomal dominant nocturnal frontal lobe epilepsy;VARIANT OF UNKNOWN SIGNIFICANCE;not provided	
CRIPT	SHORT STATURE WITH MICROCEPHALY AND DISTINCTIVE FACIES;Ateleiotic dwarfism;Short stature with microcephaly and distinctive facies;Primordial Dwarfism;Characteristic facies, hypoplastic terminal phalanges, osteopenia, albinoid fundus, markedly impaired retinal function, recurrent infections, PDA, persistent anemia (Hb 8.3 g/dl) with anisopoikilocytosis. MRI showed increase white matter signal and hypogenesis of corpus callosum	Autosomal recessive inheritance
CRLF1	Cold-induced sweating syndrome 1;Cold-induced sweating syndrome 1	
CRTAP	Osteogenesis imperfecta type 7;Osteogenesis imperfecta type 7	Autosomal recessive inheritance
CRX	Bulls eye maculopathy	Autosomal dominant inheritance
CRYAA	Cataract 9, autosomal recessive;CATARACT 9, AUTOSOMAL RECESSIVE	
CRYAB	Alpha-B crystallinopathy;MYOPATHY, MYOFIBRILLAR, 2	
CRYBA4	Cataract 23;CATARACT 23	
CRYBB1	Cataract, congenital nuclear, autosomal recessive 3;CATARACT 17, PULVERULENT	
CRYBB2	Cataract 3, multiple types;CATARACT 3, MULTIPLE TYPES	
CRYBB3	CATARACT 22, NUCLEAR, AUTOSOMAL RECESSIVE;Congenital cataract;Cataract, congenital nuclear, autosomal recessive 2	
CRYGS	Cataract 20, multiple types;CATARACT 20, MULTIPLE TYPES	
CRYM	Deafness, autosomal dominant 40;DEAFNESS, AUTOSOMAL DOMINANT 40	
CSF1R	Hereditary diffuse leukoencephalopathy with spheroids;CSF1R-Related Hereditary Diffuse Leukoencephalopathy with Spheroids	
CSF2RA	SURFACTANT METABOLISM DYSFUNCTION, PULMONARY, 4;Surfactant metabolism dysfunction, pulmonary, 4	
CSF2RB	Surfactant metabolism dysfunction, pulmonary, 5;SURFACTANT METABOLISM DYSFUNCTION, PULMONARY, 5	
CSF3R	Early T cell progenitor acute lymphoblastic leukemia;Early T cell progenitor acute lymphoblastic leukemia	
CSNK1D	Advanced sleep phase syndrome, familial, 2;ADVANCED SLEEP PHASE SYNDROME, FAMILIAL, 2	
CSNK2A1	Not Provided;not provided;Okur-chung neurodevelopmental syndrome;OKUR-CHUNG NEURODEVELOPMENTAL SYNDROME	
CSPP1	Joubert syndrome 21	
CSRP3	Dilated cardiomyopathy 1M;CARDIOMYOPATHY, DILATED, 1M (1 family);Familial hypertrophic cardiomyopathy 12	
CST3	Age-related macular degeneration 11;MACULAR DEGENERATION, AGE-RELATED, 11	
CSTA	Exfoliative ichthyosis, autosomal recessive, ichthyosis bullosa of siemens-like;PEELING SKIN SYNDROME 4	
CSTB	MYOCLONIC EPILEPSY OF UNVERRICHT AND LUNDBORG;not provided;Not Provided;Unverricht-Lundborg syndrome;Epilepsy, progressive myoclonic 1A (Unverricht and Lundborg)	
CTC1	Cerebroretinal microangiopathy with calcifications and cysts;CEREBRORETINAL MICROANGIOPATHY WITH CALCIFICATIONS AND CYSTS	Autosomal recessive inheritance
CTCF	Mental retardation, autosomal dominant 21;MENTAL RETARDATION, AUTOSOMAL DOMINANT 21	
CTH	Cystathioninuria;CYSTATHIONINURIA	
CTHRC1	Barrett esophagus/esophageal adenocarcinoma;BARRETT ESOPHAGUS/ESOPHAGEAL ADENOCARCINOMA	
CTLA4	Autoimmune lymphoproliferatiVe syndrome, type V;AUTOIMMUNE LYMPHOPROLIFERATIVE SYNDROME, TYPE V	
CTNNA1	Macular dystrophy, patterned, 2;MACULAR DYSTROPHY, PATTERNED, 2	
CTNNA3	Arrhythmogenic right ventricular dysplasia, familial, 13;ARRHYTHMOGENIC RIGHT VENTRICULAR DYSPLASIA, FAMILIAL, 13	
CTNNB1	Carcinoma of colon;COLORECTAL CANCER, SOMATIC	Somatic mutation
CTNS	Cystinosis, atypical nephropathic;CYSTINOSIS, ATYPICAL NEPHROPATHIC	
CTPS1	Immunodeficiency 24;IMMUNODEFICIENCY 24	
CTRC	Hereditary pancreatitis;Hereditary pancreatitis	Autosomal dominant inheritance;Autosomal recessive inheritance
CTSA	Combined deficiency of sialidase AND beta galactosidase;Coarse facial features;Short stature;Intellectual disability, mild;Mild conductive hearing impairment;Aortic valve stenosis;Pectus excavatum;Generalized hypotonia;Kyphosis	
CTSC	Papillon-Lefèvre syndrome;HAIM-MUNK SYNDROME;Haim-Munk syndrome	
CTSD	Ceroid lipofuscinosis neuronal 10;Ceroid lipofuscinosis neuronal 10	
CTSF	Ceroid lipofuscinosis, neuronal, 13;CEROID LIPOFUSCINOSIS, NEURONAL, 13	
CTSK	Pyknodysostosis;PYCNODYSOSTOSIS	
CUBN	MEGALOBLASTIC ANEMIA 1, FINNISH TYPE;Megaloblastic anemia 1, Finnish type;Megaloblastic anemia due to inborn errors of metabolism	
CUL3	Pseudohypoaldosteronism, type 2;Pseudohypoaldosteronism, type 2	
CUL4B	Inborn genetic diseases;MR/ID/DD;Seizures/Epilepsy;progressive;ASD;Craniofacial (child onset);Neurologic (child onset)	
CUL7	Craniofacial (child onset);Inborn genetic diseases;Multiple congenital anomalies;Three M syndrome 1;Musculoskeletal/Structural (child onset)	
CWF19L1	Spinocerebellar ataxia, autosomal recessive 17;SPINOCEREBELLAR ATAXIA, AUTOSOMAL RECESSIVE 17	
CXCR4	Warts, hypogammaglobulinemia, infections, and myelokathexis;WHIM SYNDROME	
CYB5A	Methemoglobinemia type 4;METHEMOGLOBINEMIA, TYPE IV	
CYB5R3	Methemoglobinemia type 2;METHEMOGLOBINEMIA, TYPE II	Autosomal recessive inheritance
CYBA	Granulomatous disease, chronic, autosomal recessive, cytochrome b-negative;GRANULOMATOUS DISEASE, CHRONIC, AUTOSOMAL RECESSIVE, CYTOCHROME b-NEGATIVE	
CYBB	Atypical mycobacteriosis, familial, X-linked 2;IMMUNODEFICIENCY 34;not provided;Chronic granulomatous disease	
CYC1	Mitochondrial complex III deficiency, nuclear type 6;MITOCHONDRIAL COMPLEX III DEFICIENCY, NUCLEAR TYPE 6	
CYCS	Thrombocytopenia 4;THROMBOCYTOPENIA, AUTOSOMAL DOMINANT, 4	
CYLD	Cylindromatosis, familial;Familial multiple trichoepitheliomata;CYLINDROMATOSIS, FAMILIAL;Spiegler-Brooke syndrome	
CYP11A1	Adrenal insufficiency, congenital, with 46,XY sex reversal, partial or complete;ADRENAL INSUFFICIENCY, CONGENITAL, WITH 46,XY SEX REVERSAL, PARTIAL OR COMPLETE	
CYP11B1	Congenital adrenal hyperplasia;Congenital Adrenal Hyperplasia;Deficiency of steroid 11-beta-monooxygenase;ADRENAL HYPERPLASIA, CONGENITAL, DUE TO STEROID 11-BETA-HYDROXYLASE DEFICIENCY	Autosomal recessive inheritance
CYP11B2	Corticosterone methyloxidase type 1 deficiency;CORTICOSTERONE METHYLOXIDASE TYPE I DEFICIENCY	Autosomal recessive inheritance
CYP17A1	17,20-@LYASE DEFICIENCY, ISOLATED;Deficiency of steroid 17-alpha-monooxygenase;Isolated 17,20-lyase deficiency;17-alpha-hydroxylase/17,20-lyase deficiency	Autosomal recessive inheritance
CYP1B1	Coloboma;iris and fundal colobomas;not provided;Glaucoma 3A, primary open angle, congenital, juvenile, or adult onset, Peters anomaly;Glaucoma, congenital;Glaucoma, early-onset, digenic;microphthalmia;GLAUCOMA, EARLY-ONSET, DIGENIC	
CYP21A2	21-hydroxylase deficiency;21-hydroxylase deficiency	
CYP24A1	Idiopathic hypercalcemia of infancy;HYPERCALCEMIA, INFANTILE, 1	Autosomal dominant inheritance;Autosomal recessive inheritance
CYP26B1	Radiohumeral fusions with other skeletal and craniofacial anomalies;not provided;RADIOHUMERAL FUSIONS WITH OTHER SKELETAL AND CRANIOFACIAL ANOMALIES	
CYP27A1	Cholestanol storage disease;Cerebrotendinous Xanthomatosis	Autosomal recessive inheritance
CYP27B1	Vitamin D-dependent rickets, type 1;VITAMIN D HYDROXYLATION-DEFICIENT RICKETS, TYPE 1A	
CYP2C9	Warfarin response;WARFARIN SENSITIVITY	
CYP2R1	Vitamin d hydroxylation-deficient rickets, type 1b;VITAMIN D HYDROXYLATION-DEFICIENT RICKETS, TYPE 1B	
CYP2U1	Global developmental delay;Spastic paraplegia;Neurodegenerative illness;SPASTIC PARAPLEGIA 56, AUTOSOMAL RECESSIVE;Spastic paraplegia 56, autosomal recessive	
CYP4F22	Autosomal recessive congenital ichthyosis 5;ICHTHYOSIS, CONGENITAL, AUTOSOMAL RECESSIVE 5	
CYP4V2	Bietti crystalline corneoretinal dystrophy;Bietti crystalline corneoretinal dystrophy	Autosomal recessive inheritance
CYP7B1	Ataxia;Inborn genetic diseases;Spastic paraplegia;Musculoskeletal/Structural (child onset);Phenotype is progressive	
D2HGDH	D-2-hydroxyglutaric aciduria 1;D-2-hydroxyglutaric aciduria 1	
DAG1	Limb-girdle muscular dystrophy-dystroglycanopathy, type C9;MUSCULAR DYSTROPHY-DYSTROGLYCANOPATHY (LIMB-GIRDLE), TYPE C, 9	
DARS	Hypomyelination with brainstem and spinal cord involvement and leg spasticity;Hypomyelination with brainstem and spinal cord involvement and leg spasticity	
DARS2	Inborn genetic diseases;MR/ID/DD;Seizures/Epilepsy;Neurologic (child onset)	
DBH	Dopamine beta hydroxylase deficiency	
DBT	Intermediate maple syrup urine disease type 2;MAPLE SYRUP URINE DISEASE, INTERMEDIATE, TYPE II	
DCAF17	Hypogonadism, diabetes mellitus, alopecia, mental retardation and electrocardiographic abnormalities;Alopecia;Hypogonadism;Dystonia;Deafness;Deduced levels of IGF-1, PRL, LH, testosterone, and hbA1c;Changes in white matter of brain;Woodhouse-Sakati syndrome	
DCAF8	Giant axonal neuropathy 2, autosomal dominant;GIANT AXONAL NEUROPATHY 2, AUTOSOMAL DOMINANT (1 family)	
DCC	Carcinoma of colon;COLORECTAL CANCER, SOMATIC	Somatic mutation
DCDC2	Nephronophthisis 19;NEPHRONOPHTHISIS 19	
DCHS1	Mitral valve prolapse 2;MITRAL VALVE PROLAPSE 2	
DCLRE1C	Histiocytic medullary reticulosis;OMENN SYNDROME	
DCN	Congenital Stromal Corneal Dystrophy;Congenital Stromal Corneal Dystrophy;CORNEAL DYSTROPHY, CONGENITAL STROMAL	
DCTN1	Distal hereditary motor neuronopathy type 7B;NEURONOPATHY, DISTAL HEREDITARY MOTOR, TYPE VIIB;Perry Syndrome	
DCX	Abnormal cortical gyration;Abnormal cortical gyration	
DDB2	Xeroderma pigmentosum, group E;XERODERMA PIGMENTOSUM, COMPLEMENTATION GROUP E, DDB-NEGATIVE FORM	Autosomal recessive inheritance
DDC	Deficiency of aromatic-L-amino-acid decarboxylase;AROMATIC L-AMINO ACID DECARBOXYLASE DEFICIENCY	Autosomal recessive inheritance
DDHD2	Spastic paraplegia 54, autosomal recessive;SPASTIC PARAPLEGIA 54, AUTOSOMAL RECESSIVE	
DDOST	Congenital order of glycosylation type 1r;CONGENITAL DISORDER OF GLYCOSYLATION, TYPE Ir (1 family);Congenital order of glycosylation type 1r	
DDR2	Spondylometaepiphyseal dysplasia short limb-hand type;SPONDYLOMETAEPIPHYSEAL DYSPLASIA, SHORT LIMB-HAND TYPE	
DDX11	not provided;Not provided	
DDX3X	Mental retardation, X-linked 102;Intellectual disability, moderate;Speech delay	
DDX41	MYELOPROLIFERATIVE/LYMPHOPROLIVERATIVE NEOPLASMS, FAMILIAL (MULTIPLE TYPES), SUSCEPTIBILITY TO;Acute myeloid leukemia;Myeloproliferative/lymphoproliferative neoplasms, familial (multiple types), susceptibility to;Leukemia, acute myeloid	Autosomal dominant inheritance;Somatic mutation
DDX58	Singleton-Merten syndrome 2;SINGLETON-MERTEN SYNDROME 2	
DDX59	Orofaciodigital syndrome 5;OROFACIODIGITAL SYNDROME V	
DEAF1	Mental retardation, autosomal dominant 24;MENTAL RETARDATION, AUTOSOMAL DOMINANT 24	
DEPDC5	Epilepsy, familial focal, with variable foci;EPILEPSY, FAMILIAL FOCAL, WITH VARIABLE FOCI	
DES	Dilated cardiomyopathy 1I;CARDIOMYOPATHY, DILATED, 1I (1 family);Not Provided;not provided	Autosomal dominant inheritance
DFNA5	Non-syndromic genetic deafness	
DFNB59	Deafness, autosomal recessive 59;DEAFNESS, AUTOSOMAL RECESSIVE 59	
DGAT1	Diarrhea 7;DIARRHEA 7 (1 family)	
DGKE	Nephrotic syndrome, type 7;NEPHROTIC SYNDROME, TYPE 7	
DGUOK	Inborn genetic diseases;MR/ID/DD;Ataxia;Musculoskeletal/Structural (child onset);Neurologic (child onset);Ophthalmologic (child onset)	
DHCR24	Desmosterolosis;DESMOSTEROLOSIS	
DHCR7	not provided;Smith-Lemli-Opitz syndrome	Autosomal recessive inheritance
DHDDS	Retinitis pigmentosa 59;RETINITIS PIGMENTOSA 59;Retinitis pigmentosa 59	
DHFR	Megaloblastic anemia due to dihydrofolate reductase deficiency;MEGALOBLASTIC ANEMIA DUE TO DIHYDROFOLATE REDUCTASE DEFICIENCY	
DHH	46,XY gonadal dysgenesis, complete, dhh-related;46,XY GONADAL DYSGENESIS, COMPLETE, DHH-RELATED	
DHODH	Miller syndrome;MILLER SYNDROME	
DHTKD1	2-aminoadipic 2-oxoadipic aciduria;2-@AMINOADIPIC 2-OXOADIPIC ACIDURIA	
DIABLO	Deafness, autosomal dominant 64;DEAFNESS, AUTOSOMAL DOMINANT 64	
DIAPH1	Failure to thrive;Seizures, cortical blindness, and microcephaly syndrome;SEIZURES, CORTICAL BLINDNESS, AND MICROCEPHALY SYNDROME;Global developmental delay;Seizure disorder;Microcephaly	
DICER1	DICER1-related pleuropulmonary blastoma cancer predisposition syndrome	Autosomal dominant inheritance
DIS3L2	Renal hamartomas nephroblastomatosis and fetal gigantism	
DKC1	Dyskeratosis congenita X-linked;Dyskeratosis Congenita	
DLC1	Carcinoma of colon;COLORECTAL CANCER, SOMATIC	Somatic mutation
DLD	DIHYDROLIPOAMIDE DEHYDROGENASE DEFICIENCY;Maple syrup urine disease, type 3;not provided;Not Provided	
DLG3	not provided;not provided	
DLL3	Spondylocostal dysostosis 1, autosomal recessive;SPONDYLOCOSTAL DYSOSTOSIS 1, AUTOSOMAL RECESSIVE	
DLL4	Adams-Oliver syndrome;Adams-Oliver Syndrome	
DLX3	Amelogenesis imperfecta, type IV;Tricho-dento-osseous syndrome;AMELOGENESIS IMPERFECTA, TYPE IV	Autosomal dominant inheritance
DLX4	Orofacial cleft 15;OROFACIAL CLEFT 15 (1 family)	
DLX5	SPLIT-HAND/FOOT MALFORMATION 1;not provided;Split-hand/foot malformation 1	
DMD	Becker muscular dystrophy;BECKER MUSCULAR DYSTROPHY	
DMGDH	Dimethylglycine dehydrogenase deficiency;DIMETHYLGLYCINE DEHYDROGENASE DEFICIENCY	
DMP1	Autosomal recessive hypophosphatemic vitamin D refractory rickets;HYPOPHOSPHATEMIC RICKETS, AUTOSOMAL RECESSIVE, 1	Autosomal recessive inheritance
DMXL2	Polyendocrine-polyneuropathy syndrome;POLYENDOCRINE-POLYNEUROPATHY SYNDROME (1 family)	
DNA2	Ateleiotic dwarfism;SECKEL SYNDROME 8 (1 family);Seckel syndrome 8;Primordial dwarfism	Autosomal recessive inheritance
DNAAF1	Ciliary dyskinesia, primary, 13;CILIARY DYSKINESIA, PRIMARY, 13	
DNAAF2	Kartagener syndrome;Ciliary dyskinesia, primary, 10;CILIARY DYSKINESIA, PRIMARY, 10	Autosomal recessive inheritance
DNAAF3	Kartagener syndrome;Ciliary dyskinesia, primary, 2;CILIARY DYSKINESIA, PRIMARY, 2	Autosomal recessive inheritance
DNAAF5	Ciliary dyskinesia, primary, 18;CILIARY DYSKINESIA, PRIMARY, 18, WITH OR WITHOUT SITUS INVERSUS;Primary Ciliary Dyskinesia	
DNAH1	Kartagener syndrome;Kartagener syndrome	Autosomal recessive inheritance
DNAH11	Ciliary dyskinesia, primary, 7;Ciliary dyskinesia, primary, 7	
DNAH5	Ciliary dyskinesia, primary, 3;CILIARY DYSKINESIA, PRIMARY, 3	
DNAH8	Kartagener syndrome;VARIANT OF UNKNOWN SIGNIFICANCE;not provided	Autosomal recessive inheritance
DNAI1	Kartagener syndrome;CILIARY DYSKINESIA, PRIMARY, 1	Autosomal recessive inheritance
DNAI2	Ciliary dyskinesia, primary, 9;CILIARY DYSKINESIA, PRIMARY, 9;Primary Ciliary Dyskinesia	
DNAJB2	Charcot-Marie-Tooth disease, axonal, type 2T;Charcot-Marie-Tooth disease, axonal, type 2t	
DNAJB6	Limb-girdle muscular dystrophy, type 1E;MUSCULAR DYSTROPHY, LIMB-GIRDLE, TYPE 1E	Autosomal dominant inheritance
DNAJC13	Parkinsons disease;Essential tremor;Parkinson disease 21;Parkinson disease, late-onset;RECLASSIFIED - VARIANT OF UNKNOWN SIGNIFICANCE	
DNAJC19	3-methylglutaconic aciduria type V;3-@METHYLGLUTACONIC ACIDURIA, TYPE V	
DNAJC21	Bone marrow failure syndrome 3;BONE MARROW FAILURE SYNDROME 3	
DNAJC3	ATAXIA, COMBINED CEREBELLAR AND PERIPHERAL, WITH HEARING LOSS AND DIABETES MELLITUS (1 family);Ataxia, combined cerebellar and peripheral, with hearing loss and diabetes mellitus;Prostate cancer;Malignant tumor of prostate	
DNAJC5	Ceroid lipofuscinosis neuronal 4B autosomal dominant;CEROID LIPOFUSCINOSIS, NEURONAL, 4B, AUTOSOMAL DOMINANT	
DNAJC6	Parkinson disease 19a, juvenile-onset;PARKINSON DISEASE 19A, JUVENILE-ONSET	
DNAL1	Kartagener syndrome;Primary Ciliary Dyskinesia;Ciliary dyskinesia, primary, 16;CILIARY DYSKINESIA, PRIMARY, 16	Autosomal recessive inheritance
DNAL4	Mirror movements 3;MIRROR MOVEMENTS 3 (1 family)	
DNM1	Epileptic encephalopathy, early infantile, 31;EPILEPTIC ENCEPHALOPATHY, EARLY INFANTILE, 31	
DNM1L	Encephalopathy, lethal, due to defective mitochondrial and peroxisomal fission;ENCEPHALOPATHY DUE TO DEFECTIVE MITOCHONDRIAL AND PEROXISOMAL FISSION 1, AUTOSOMAL RECESSIVE	
DNM2	Charcot-Marie-Tooth disease, dominant intermediate b, with neutropenia;CHARCOT-MARIE-TOOTH DISEASE, DOMINANT INTERMEDIATE B, WITH NEUTROPENIA	
DNMT1	Cerebellar ataxia, deafness, and narcolepsy, autosomal dominant;CEREBELLAR ATAXIA, DEAFNESS, AND NARCOLEPSY, AUTOSOMAL DOMINANT	
DNMT3A	Early T cell progenitor acute lymphoblastic leukemia;Early T cell progenitor acute lymphoblastic leukemia	
DNMT3B	Centromeric instability of chromosomes 1,9 and 16 and immunodeficiency;IMMUNODEFICIENCY-CENTROMERIC INSTABILITY-FACIAL ANOMALIES SYNDROME 1	
DOCK2	Immunodeficiency 40;IMMUNODEFICIENCY 40	
DOCK6	Adams-Oliver syndrome 2;ADAMS-OLIVER SYNDROME 2	
DOCK7	Epileptic encephalopathy, early infantile, 23;EPILEPTIC ENCEPHALOPATHY, EARLY INFANTILE, 23	
DOCK8	Hyperimmunoglobulin E recurrent infection syndrome, autosomal recessive;HYPER-IgE RECURRENT INFECTION SYNDROME, AUTOSOMAL RECESSIVE	Autosomal recessive inheritance
DOK7	Congenital myasthenic syndrome;Not provided;not provided	
DOLK	Congenital disorder of glycosylation type 1M;CONGENITAL DISORDER OF GLYCOSYLATION, TYPE Im	
DPAGT1	Congenital disorder of glycosylation type 1J	
DPH1	Developmental delay with short stature, dysmorphic features, and  sparse hair;Hydrocephalus;Global developmental delay;Dandy-Walker malformation;Cerebellar vermis hypoplasia;DEVELOPMENTAL DELAY WITH SHORT STATURE, DYSMORPHIC FEATURES, AND SPARSE HAIR;Developmental delay	
DPM1	Congenital disorder of glycosylation type 1E;CONGENITAL DISORDER OF GLYCOSYLATION, TYPE Ie	
DPM2	Congenital disorder of glycosylation type 1u;CONGENITAL DISORDER OF GLYCOSYLATION, TYPE Iu	
DPM3	Congenital disorder of glycosylation type 1O;CONGENITAL DISORDER OF GLYCOSYLATION, TYPE Io;CONGENITAL DISORDER OF GLYCOSYLATION, TYPE Io	
DPY19L2	Spermatogenic failure 9;SPERMATOGENIC FAILURE 9	
DPYD	Fluorouracil response;5-@FLUOROURACIL TOXICITY	
DPYS	Dihydropyrimidinase deficiency;DIHYDROPYRIMIDINASE DEFICIENCY	
DPYSL2	Inborn genetic diseases;Multiple congenital anomalies;MR/ID/DD;Brain MRI positive;Audiologic/Otolaryngologic (child onset);Craniofacial (child onset);Gastrointestinal (child onset);Neurologic (child onset);Ophthalmologic (child onset);Renal (child onset)	
DRAM2	Retinal Dystrophy;Cone-rod dystrophy 21;Retinal dystrophy;CONE-ROD DYSTROPHY 21	
DRC1	Kartagener syndrome;Ciliary dyskinesia, primary, 21;CILIARY DYSKINESIA, PRIMARY, 21, WITHOUT SITUS INVERSUS	Autosomal recessive inheritance
DRD4	Autonomic nervous system dysfunction;AUTONOMIC NERVOUS SYSTEM DYSFUNCTION	
DSC2	Arrhythmogenic right ventricular cardiomyopathy, type 11;ARRHYTHMOGENIC RIGHT VENTRICULAR DYSPLASIA, FAMILIAL, 11	Autosomal dominant inheritance
DSC3	Hypotrichosis and recurrent skin vesicles;HYPOTRICHOSIS AND RECURRENT SKIN VESICLES (1 family)	
DSE	Ehlers-Danlos syndrome, musculocontractural type 2;EHLERS-DANLOS SYNDROME, MUSCULOCONTRACTURAL TYPE 2 (1 family)	
DSG1	Erythroderma, congenital, with palmoplantar keratoderma, hypotrichosis, and hyper-ige;ERYTHRODERMA, CONGENITAL, WITH PALMOPLANTAR KERATODERMA, HYPOTRICHOSIS, RECURRENT INFECTIONS, AND MULTIPLE FOOD ALLERGIES	
DSG2	Arrhythmogenic right ventricular cardiomyopathy, type 10;ARRHYTHMOGENIC RIGHT VENTRICULAR DYSPLASIA, FAMILIAL, 10	Autosomal dominant inheritance
DSP	Arrhythmogenic right ventricular cardiomyopathy, type 8;ARRHYTHMOGENIC RIGHT VENTRICULAR DYSPLASIA, FAMILIAL, 8	Autosomal dominant inheritance
DSPP	Deafness, autosomal dominant nonsyndromic sensorineural 39, with dentinogenesis imperfecta 1;DEAFNESS, AUTOSOMAL DOMINANT NONSYNDROMIC SENSORINEURAL 39, WITH DENTINOGENESIS IMPERFECTA 1	
