"ID"	"adj.P.Val"	"P.Value"	"F"	"Gene.symbol"	"Gene.title"
"ILMN_2406084"	"0.995"	"0.083296"	"2.20019"	""	""
"ILMN_1675038"	"0.995"	"0.083314"	"2.20004"	"PRMT2"	"protein arginine methyltransferase 2"
"ILMN_1659010"	"0.995"	"0.083327"	"2.19992"	""	""
"ILMN_1680284"	"0.995"	"0.083435"	"2.199"	"ZNF681"	"zinc finger protein 681"
"ILMN_3310221"	"0.995"	"0.083435"	"2.199"	"MIR130B"	"microRNA 130b"
"ILMN_3229749"	"0.995"	"0.083444"	"2.19893"	""	""
"ILMN_2330170"	"0.995"	"0.083446"	"2.19891"	"MYBPC1"	"myosin binding protein C, slow type"
"ILMN_1657618"	"0.995"	"0.083446"	"2.1989"	"WTAP"	"Wilms tumor 1 associated protein"
"ILMN_1808781"	"0.995"	"0.083452"	"2.19885"	"PHF12"	"PHD finger protein 12"
"ILMN_1749001"	"0.995"	"0.083454"	"2.19884"	"ABCA5"	"ATP binding cassette subfamily A member 5"
"ILMN_2065383"	"0.995"	"0.083455"	"2.19883"	"CST13P"	"cystatin 13, pseudogene"
"ILMN_1661451"	"0.995"	"0.083461"	"2.19877"	""	""
"ILMN_3236656"	"0.995"	"0.083491"	"2.19853"	"NIPSNAP3B"	"nipsnap homolog 3B"
"ILMN_1711642"	"0.995"	"0.083496"	"2.19848"	""	""
"ILMN_1825275"	"0.995"	"0.0835"	"2.19845"	"RALGDS"	"ral guanine nucleotide dissociation stimulator"
"ILMN_1720955"	"0.995"	"0.083506"	"2.1984"	"OR13C5"	"olfactory receptor family 13 subfamily C member 5"
"ILMN_1765109"	"0.995"	"0.083564"	"2.1979"	""	""
"ILMN_1882708"	"0.995"	"0.083612"	"2.19749"	""	""
"ILMN_1860632"	"0.995"	"0.083665"	"2.19703"	""	""
"ILMN_1662340"	"0.995"	"0.08367"	"2.19699"	"ZNF358"	"zinc finger protein 358"
"ILMN_1750075"	"0.995"	"0.083734"	"2.19645"	"DMTF1"	"cyclin D binding myb like transcription factor 1"
"ILMN_1708583"	"0.995"	"0.083749"	"2.19632"	"OR5L2"	"olfactory receptor family 5 subfamily L member 2"
"ILMN_3309428"	"0.995"	"0.083772"	"2.19613"	"SNORD114-17"	"small nucleolar RNA, C/D box 114-17"
"ILMN_3240676"	"0.995"	"0.083791"	"2.19596"	"LINC00112"	"long intergenic non-protein coding RNA 112"
"ILMN_1706483"	"0.995"	"0.083797"	"2.19591"	"C1orf116"	"chromosome 1 open reading frame 116"
"ILMN_1822333"	"0.995"	"0.083797"	"2.19591"	"CD28"	"CD28 molecule"
"ILMN_2402947"	"0.995"	"0.083851"	"2.19545"	"USP14"	"ubiquitin specific peptidase 14"
"ILMN_1722286"	"0.995"	"0.083882"	"2.19518"	"ABCA5"	"ATP binding cassette subfamily A member 5"
"ILMN_1667120"	"0.995"	"0.083908"	"2.19496"	"FBXO9"	"F-box protein 9"
"ILMN_1774020"	"0.995"	"0.083915"	"2.19491"	"ZDHHC11"	"zinc finger DHHC-type containing 11"
"ILMN_1906685"	"0.995"	"0.083916"	"2.1949"	""	""
"ILMN_1762861"	"0.995"	"0.08396"	"2.19453"	"HLA-F"	"major histocompatibility complex, class I, F"
"ILMN_1720027"	"0.995"	"0.083961"	"2.19452"	"ZNF23"	"zinc finger protein 23"
"ILMN_1754198"	"0.995"	"0.083998"	"2.1942"	""	""
"ILMN_1702738"	"0.995"	"0.084038"	"2.19386"	"KLC3"	"kinesin light chain 3"
"ILMN_1783672"	"0.995"	"0.084046"	"2.19379"	"SLC30A10"	"solute carrier family 30 member 10"
"ILMN_1721629"	"0.995"	"0.084095"	"2.19338"	"ZNF654"	"zinc finger protein 654"
"ILMN_3241140"	"0.995"	"0.084117"	"2.19318"	"SNORA14B"	"small nucleolar RNA, H/ACA box 14B"
"ILMN_3236928"	"0.995"	"0.084128"	"2.19309"	"LAMTOR2"	"late endosomal/lysosomal adaptor, MAPK and MTOR activator 2"
"ILMN_1708619"	"0.995"	"0.084137"	"2.19302"	"SEH1L"	"SEH1 like nucleoporin"
"ILMN_1877939"	"0.995"	"0.084147"	"2.19293"	""	""
"ILMN_1815758"	"0.995"	"0.084174"	"2.1927"	"GAB2"	"GRB2 associated binding protein 2"
"ILMN_1808356"	"0.995"	"0.084178"	"2.19268"	"FAM3A"	"family with sequence similarity 3 member A"
"ILMN_3308455"	"0.995"	"0.084217"	"2.19234"	"MIR34A"	"microRNA 34a"
"ILMN_1687084"	"0.995"	"0.08422"	"2.19231"	"EOGT"	"EGF domain specific O-linked N-acetylglucosamine transferase"
"ILMN_1775136"	"0.995"	"0.084222"	"2.19229"	"LSMEM2"	"leucine rich single-pass membrane protein 2"
"ILMN_1759513"	"0.995"	"0.084264"	"2.19194"	"RND3"	"Rho family GTPase 3"
"ILMN_3274586"	"0.995"	"0.084428"	"2.19056"	""	""
"ILMN_1723871"	"0.995"	"0.084477"	"2.19014"	"OTUB1"	"OTU deubiquitinase, ubiquitin aldehyde binding 1"
"ILMN_3249179"	"0.995"	"0.084484"	"2.19008"	"SIAH3"	"siah E3 ubiquitin protein ligase family member 3"
"ILMN_1808633"	"0.995"	"0.0845"	"2.18995"	"C20orf96"	"chromosome 20 open reading frame 96"
"ILMN_1680208"	"0.995"	"0.084513"	"2.18984"	""	""
"ILMN_1673548"	"0.995"	"0.084513"	"2.18984"	"LGALSL"	"galectin like"
"ILMN_2141650"	"0.995"	"0.084514"	"2.18982"	"MALAT1"	"metastasis associated lung adenocarcinoma transcript 1 (non-protein coding)"
"ILMN_1759958"	"0.995"	"0.084521"	"2.18977"	"IL15RA"	"interleukin 15 receptor subunit alpha"
"ILMN_1743619"	"0.995"	"0.084559"	"2.18945"	"NEDD9"	"neural precursor cell expressed, developmentally down-regulated 9"
"ILMN_1906423"	"0.995"	"0.084621"	"2.18892"	""	""
"ILMN_1744200"	"0.995"	"0.084696"	"2.18829"	"SRMS"	"src-related kinase lacking C-terminal regulatory tyrosine and N-terminal myristylation sites"
"ILMN_1710738"	"0.995"	"0.084712"	"2.18815"	"RC3H2"	"ring finger and CCCH-type domains 2"
"ILMN_1772147"	"0.995"	"0.084765"	"2.18771"	""	""
"ILMN_1679073"	"0.995"	"0.084788"	"2.18752"	""	""
"ILMN_3205924"	"0.995"	"0.084809"	"2.18734"	""	""
"ILMN_3284053"	"0.995"	"0.084825"	"2.18721"	""	""
"ILMN_1781256"	"0.995"	"0.084825"	"2.1872"	"LEFTY2"	"left-right determination factor 2"
"ILMN_2136147"	"0.995"	"0.084845"	"2.18704"	"BCAS1"	"breast carcinoma amplified sequence 1"
"ILMN_1793928"	"0.995"	"0.084862"	"2.18689"	"USH2A"	"usherin"
"ILMN_1680814"	"0.995"	"0.084891"	"2.18665"	"EDN2"	"endothelin 2"
"ILMN_3204842"	"0.995"	"0.084906"	"2.18652"	""	""
"ILMN_1676041"	"0.995"	"0.084922"	"2.18639"	""	""
"ILMN_1786524"	"0.995"	"0.084948"	"2.18617"	"PRSS38"	"protease, serine 38"
"ILMN_3240520"	"0.995"	"0.084995"	"2.18577"	"ADGRL4"	"adhesion G protein-coupled receptor L4"
"ILMN_1676706"	"0.995"	"0.085012"	"2.18563"	""	""
"ILMN_1693372"	"0.995"	"0.085028"	"2.1855"	""	""
"ILMN_2141941"	"0.995"	"0.085038"	"2.18541"	"TOR1AIP1"	"torsin 1A interacting protein 1"
"ILMN_3202378"	"0.995"	"0.085064"	"2.1852"	""	""
"ILMN_1897405"	"0.995"	"0.085074"	"2.18512"	""	""
"ILMN_1709020"	"0.995"	"0.085074"	"2.18511"	"MYBL2"	"MYB proto-oncogene like 2"
"ILMN_1704674"	"0.995"	"0.085105"	"2.18485"	""	""
"ILMN_1796835"	"0.995"	"0.085118"	"2.18475"	"RWDD3"	"RWD domain containing 3"
"ILMN_2387090"	"0.995"	"0.08512"	"2.18473"	"CGGBP1"	"CGG triplet repeat binding protein 1"
"ILMN_1802205"	"0.995"	"0.08515"	"2.18447"	"RHOB"	"ras homolog family member B"
"ILMN_1778318"	"0.995"	"0.085152"	"2.18446"	"VSIG10"	"V-set and immunoglobulin domain containing 10"
"ILMN_3262895"	"0.995"	"0.085181"	"2.18422"	""	""
"ILMN_1914343"	"0.995"	"0.08519"	"2.18414"	""	""
"ILMN_1670245"	"0.995"	"0.085202"	"2.18404"	"KLF3"	"Kruppel like factor 3"
"ILMN_3280594"	"0.995"	"0.085235"	"2.18376"	""	""
"ILMN_1782705"	"0.995"	"0.085237"	"2.18375"	"GAGE5"	"G antigen 5"
"ILMN_1792712"	"0.995"	"0.085248"	"2.18365"	"C4orf46"	"chromosome 4 open reading frame 46"
"ILMN_1764690"	"0.995"	"0.085277"	"2.18341"	"NTS"	"neurotensin"
"ILMN_3302813"	"0.995"	"0.085303"	"2.1832"	""	""
"ILMN_3307121"	"0.995"	"0.085341"	"2.18287"	""	""
"ILMN_1659343"	"0.995"	"0.085367"	"2.18266"	"BOLA2"	"bolA family member 2"
"ILMN_1686367"	"0.995"	"0.085413"	"2.18227"	"HSPA8"	"heat shock protein family A (Hsp70) member 8"
"ILMN_1808500"	"0.995"	"0.085423"	"2.18219"	"CEP68"	"centrosomal protein 68"
"ILMN_1789957"	"0.995"	"0.085434"	"2.1821"	""	""
"ILMN_3203666"	"0.995"	"0.085438"	"2.18207"	""	""
"ILMN_1697729"	"0.995"	"0.085478"	"2.18173"	"MAP2K6"	"mitogen-activated protein kinase kinase 6"
"ILMN_1692160"	"0.995"	"0.085486"	"2.18167"	""	""
"ILMN_1769220"	"0.995"	"0.085499"	"2.18156"	""	""
"ILMN_1677487"	"0.995"	"0.085547"	"2.18116"	"ANKZF1"	"ankyrin repeat and zinc finger domain containing 1"
"ILMN_3301669"	"0.995"	"0.085549"	"2.18114"	""	""
"ILMN_1757453"	"0.995"	"0.085557"	"2.18107"	""	""
"ILMN_1673158"	"0.995"	"0.085563"	"2.18102"	""	""
"ILMN_1685531"	"0.995"	"0.085593"	"2.18077"	"ADAM5"	"ADAM metallopeptidase domain 5 (pseudogene)"
"ILMN_2088437"	"0.995"	"0.085637"	"2.1804"	"CX3CR1"	"C-X3-C motif chemokine receptor 1"
"ILMN_1908463"	"0.995"	"0.085645"	"2.18034"	""	""
"ILMN_1843855"	"0.995"	"0.08565"	"2.18029"	""	""
"ILMN_3243914"	"0.995"	"0.085651"	"2.18029"	""	""
"ILMN_3228007"	"0.995"	"0.085651"	"2.18029"	""	""
"ILMN_1657589"	"0.995"	"0.085653"	"2.18027"	""	""
"ILMN_3282917"	"0.995"	"0.085658"	"2.18023"	""	""
"ILMN_3247222"	"0.995"	"0.085663"	"2.18019"	"SNORA40"	"small nucleolar RNA, H/ACA box 40"
"ILMN_1801138"	"0.995"	"0.085725"	"2.17968"	"KRTAP19-1"	"keratin associated protein 19-1"
"ILMN_2128931"	"0.995"	"0.085733"	"2.17961"	"FAT2"	"FAT atypical cadherin 2"
"ILMN_1794112"	"0.995"	"0.085782"	"2.1792"	"C3orf56"	"chromosome 3 open reading frame 56"
"ILMN_1712673"	"0.995"	"0.085788"	"2.17915"	"SASH1"	"SAM and SH3 domain containing 1"
"ILMN_1684647"	"0.995"	"0.085818"	"2.1789"	"ILKAP"	"ILK associated serine/threonine phosphatase"
"ILMN_3309789"	"0.995"	"0.085828"	"2.17881"	"MIR1302-3"	"microRNA 1302-3"
"ILMN_1712162"	"0.995"	"0.085839"	"2.17872"	"TMPRSS11A"	"transmembrane protease, serine 11A"
"ILMN_1789274"	"0.995"	"0.085869"	"2.17847"	"FBXO17"	"F-box protein 17"
"ILMN_1771734"	"0.995"	"0.085891"	"2.17829"	""	""
"ILMN_1678522"	"0.995"	"0.085894"	"2.17827"	""	""
"ILMN_1675462"	"0.995"	"0.085901"	"2.17821"	"LSM6"	"LSM6 homolog, U6 small nuclear RNA and mRNA degradation associated"
"ILMN_3308043"	"0.995"	"0.085907"	"2.17816"	"MIR134"	"microRNA 134"
"ILMN_1660292"	"0.995"	"0.085924"	"2.17802"	"MRPS21"	"mitochondrial ribosomal protein S21"
"ILMN_1889404"	"0.995"	"0.085936"	"2.17792"	"COL6A5"	"collagen type VI alpha 5 chain"
"ILMN_1702257"	"0.995"	"0.085937"	"2.17791"	"ATP4B"	"ATPase H+/K+ transporting beta subunit"
"ILMN_1853742"	"0.995"	"0.08595"	"2.1778"	"KIAA2022"	"KIAA2022"
"ILMN_1655884"	"0.995"	"0.086017"	"2.17724"	"ATP2A2"	"ATPase sarcoplasmic/endoplasmic reticulum Ca2+ transporting 2"
"ILMN_1688162"	"0.995"	"0.086032"	"2.17712"	"SLC12A1"	"solute carrier family 12 member 1"
"ILMN_1903577"	"0.995"	"0.086038"	"2.17707"	""	""
"ILMN_2355738"	"0.995"	"0.086088"	"2.17666"	"INCENP"	"inner centromere protein"
"ILMN_1724306"	"0.995"	"0.086093"	"2.17661"	"CACNG1"	"calcium voltage-gated channel auxiliary subunit gamma 1"
"ILMN_1680687"	"0.995"	"0.086103"	"2.17653"	"NSF"	"N-ethylmaleimide sensitive factor, vesicle fusing ATPase"
"ILMN_3204172"	"0.995"	"0.086106"	"2.17651"	""	""
"ILMN_2202423"	"0.995"	"0.086113"	"2.17645"	"HELLS"	"helicase, lymphoid-specific"
"ILMN_1659980"	"0.995"	"0.086131"	"2.1763"	"MROH5"	"maestro heat like repeat family member 5"
"ILMN_1707630"	"0.995"	"0.086136"	"2.17626"	""	""
"ILMN_1724021"	"0.995"	"0.086144"	"2.17619"	"SLC6A19"	"solute carrier family 6 member 19"
"ILMN_2084059"	"0.995"	"0.086224"	"2.17553"	"SLC12A4"	"solute carrier family 12 member 4"
"ILMN_1789500"	"0.995"	"0.086245"	"2.17536"	""	""
"ILMN_1662734"	"0.995"	"0.086295"	"2.17494"	"OTOP3"	"otopetrin 3"
"ILMN_3242086"	"0.995"	"0.086303"	"2.17487"	"C4orf3"	"chromosome 4 open reading frame 3"
"ILMN_1779182"	"0.995"	"0.086309"	"2.17483"	"TMEM98"	"transmembrane protein 98"
"ILMN_1813695"	"0.995"	"0.086367"	"2.17435"	"C4B"	"complement component 4B (Chido blood group)"
"ILMN_3257273"	"0.995"	"0.086395"	"2.17412"	""	""
"ILMN_1663646"	"0.995"	"0.086396"	"2.17411"	"DMXL1"	"Dmx like 1"
"ILMN_3310870"	"0.995"	"0.086402"	"2.17406"	"MIR577"	"microRNA 577"
"ILMN_1814007"	"0.995"	"0.086443"	"2.17373"	""	""
"ILMN_1666918"	"0.995"	"0.086446"	"2.1737"	""	""
"ILMN_1773906"	"0.995"	"0.086455"	"2.17362"	"NCOA4"	"nuclear receptor coactivator 4"
"ILMN_1676248"	"0.995"	"0.086488"	"2.17335"	"SEMA4G"	"semaphorin 4G"
"ILMN_1697691"	"0.995"	"0.086508"	"2.17318"	""	""
"ILMN_3175634"	"0.995"	"0.086512"	"2.17315"	""	""
"ILMN_1664602"	"0.995"	"0.086518"	"2.1731"	""	""
"ILMN_1792603"	"0.995"	"0.086536"	"2.17295"	""	""
"ILMN_2271627"	"0.995"	"0.086579"	"2.1726"	"ATXN2L"	"ataxin 2 like"
"ILMN_1798875"	"0.995"	"0.086593"	"2.17249"	""	""
"ILMN_2064355"	"0.995"	"0.086595"	"2.17246"	"MCF2L2"	"MCF.2 cell line derived transforming sequence-like 2"
"ILMN_1794672"	"0.995"	"0.08661"	"2.17235"	"C9orf47"	"chromosome 9 open reading frame 47"
"ILMN_1755727"	"0.995"	"0.086615"	"2.1723"	"KDM5B"	"lysine demethylase 5B"
"ILMN_2343677"	"0.995"	"0.086623"	"2.17224"	"SOX5"	"SRY-box 5"
"ILMN_1805995"	"0.995"	"0.086629"	"2.17219"	"STPG2"	"sperm tail PG-rich repeat containing 2"
"ILMN_2390318"	"0.995"	"0.086659"	"2.17194"	""	""
"ILMN_2370208"	"0.995"	"0.086659"	"2.17194"	""	""
"ILMN_1666399"	"0.995"	"0.086702"	"2.17158"	"RING1"	"ring finger protein 1"
"ILMN_3206558"	"0.995"	"0.086712"	"2.1715"	""	""
"ILMN_1757521"	"0.995"	"0.086723"	"2.17141"	"CKM"	"creatine kinase, M-type"
"ILMN_1658190"	"0.995"	"0.086729"	"2.17137"	"ZNF883"	"zinc finger protein 883"
"ILMN_1704369"	"0.995"	"0.086737"	"2.1713"	"LIMA1"	"LIM domain and actin binding 1"
"ILMN_1732497"	"0.995"	"0.086769"	"2.17104"	""	""
"ILMN_1689701"	"0.995"	"0.086773"	"2.17101"	""	""
"ILMN_1727815"	"0.995"	"0.086808"	"2.17071"	"CFI"	"complement factor I"
"ILMN_1717722"	"0.995"	"0.08685"	"2.17037"	"PDZD2"	"PDZ domain containing 2"
"ILMN_1774983"	"0.995"	"0.08686"	"2.17029"	"IL17A"	"interleukin 17A"
"ILMN_2222074"	"0.995"	"0.086908"	"2.1699"	"PTPN12"	"protein tyrosine phosphatase, non-receptor type 12"
"ILMN_2115350"	"0.995"	"0.086964"	"2.16944"	"TNXA"	"tenascin XA (pseudogene)"
"ILMN_1654065"	"0.995"	"0.086998"	"2.16916"	"ATOH8"	"atonal bHLH transcription factor 8"
"ILMN_1749641"	"0.995"	"0.087008"	"2.16908"	"FBXO3"	"F-box protein 3"
"ILMN_1763793"	"0.995"	"0.087012"	"2.16904"	"PPM1L"	"protein phosphatase, Mg2+/Mn2+ dependent 1L"
"ILMN_1661309"	"0.995"	"0.087017"	"2.169"	"XKR4"	"XK related 4"
"ILMN_2361478"	"0.995"	"0.087074"	"2.16853"	"PDLIM5"	"PDZ and LIM domain 5"
"ILMN_1730039"	"0.995"	"0.08712"	"2.16816"	"IGSF21"	"immunoglobin superfamily member 21"
"ILMN_3248701"	"0.995"	"0.087132"	"2.16806"	""	""
"ILMN_1745607"	"0.995"	"0.087181"	"2.16766"	"A2M"	"alpha-2-macroglobulin"
"ILMN_1702487"	"0.995"	"0.087247"	"2.16711"	"SGK1"	"serum/glucocorticoid regulated kinase 1"
"ILMN_1853093"	"0.995"	"0.087249"	"2.1671"	""	""
"ILMN_1654323"	"0.995"	"0.087266"	"2.16696"	"UBE3A"	"ubiquitin protein ligase E3A"
"ILMN_1746240"	"0.995"	"0.087274"	"2.1669"	""	""
"ILMN_3244070"	"0.995"	"0.087282"	"2.16683"	"ABCC6P2"	"ATP binding cassette subfamily C member 6 pseudogene 2"
"ILMN_1767404"	"0.995"	"0.087299"	"2.16669"	""	""
"ILMN_1847979"	"0.995"	"0.087302"	"2.16667"	""	""
"ILMN_1773289"	"0.995"	"0.087304"	"2.16665"	"RFX4"	"regulatory factor X4"
"ILMN_1797451"	"0.995"	"0.087309"	"2.16661"	"SRGAP2"	"SLIT-ROBO Rho GTPase activating protein 2"
"ILMN_1769532"	"0.995"	"0.087323"	"2.1665"	"FAM86B1"	"family with sequence similarity 86 member B1"
"ILMN_2345119"	"0.995"	"0.08736"	"2.16619"	"NLGN4X"	"neuroligin 4, X-linked"
"ILMN_1783908"	"0.995"	"0.087383"	"2.16601"	"B3GNT9"	"UDP-GlcNAc:betaGal beta-1,3-N-acetylglucosaminyltransferase 9"
"ILMN_1670669"	"0.995"	"0.087399"	"2.16588"	"SERPINA12"	"serpin family A member 12"
"ILMN_1744912"	"0.995"	"0.087405"	"2.16582"	"CTTN"	"cortactin"
"ILMN_3210304"	"0.995"	"0.087407"	"2.16581"	""	""
"ILMN_1836810"	"0.995"	"0.087422"	"2.16569"	""	""
"ILMN_1732166"	"0.995"	"0.087449"	"2.16547"	"SDHAP3"	"succinate dehydrogenase complex flavoprotein subunit A pseudogene 3"
"ILMN_1761210"	"0.995"	"0.087452"	"2.16544"	""	""
"ILMN_1681811"	"0.995"	"0.087474"	"2.16527"	""	""
"ILMN_3243549"	"0.995"	"0.087498"	"2.16507"	""	""
"ILMN_3238986"	"0.995"	"0.087505"	"2.16501"	"CALY"	"calcyon neuron specific vesicular protein"
"ILMN_1768049"	"0.995"	"0.087511"	"2.16496"	"FOXP3"	"forkhead box P3"
"ILMN_1696046"	"0.995"	"0.087564"	"2.16453"	"SIVA1"	"SIVA1 apoptosis inducing factor"
"ILMN_1741134"	"0.995"	"0.087596"	"2.16427"	"WDR89"	"WD repeat domain 89"
"ILMN_2194577"	"0.995"	"0.087597"	"2.16426"	"PLVAP"	"plasmalemma vesicle associated protein"
"ILMN_1796663"	"0.995"	"0.087622"	"2.16405"	"B4GALNT4"	"beta-1,4-N-acetyl-galactosaminyltransferase 4"
"ILMN_1661491"	"0.995"	"0.087623"	"2.16405"	"SH3GL2"	"SH3 domain containing GRB2 like 2, endophilin A1"
"ILMN_1744676"	"0.995"	"0.087652"	"2.16381"	"RNF112"	"ring finger protein 112"
"ILMN_1758215"	"0.995"	"0.087688"	"2.16352"	"ANKRD34C"	"ankyrin repeat domain 34C"
"ILMN_1683886"	"0.995"	"0.087705"	"2.16338"	""	""
"ILMN_2409078"	"0.995"	"0.087719"	"2.16326"	"SNHG10"	"small nucleolar RNA host gene 10"
"ILMN_1894969"	"0.995"	"0.087725"	"2.16322"	""	""
"ILMN_1765860"	"0.995"	"0.087784"	"2.16274"	"DOCK11"	"dedicator of cytokinesis 11"
"ILMN_1651199"	"0.995"	"0.087796"	"2.16264"	""	""
"ILMN_1685037"	"0.995"	"0.087858"	"2.16213"	"ASL"	"argininosuccinate lyase"
"ILMN_1791923"	"0.995"	"0.087913"	"2.16169"	"ACSM4"	"acyl-CoA synthetase medium-chain family member 4"
"ILMN_2386818"	"0.995"	"0.088015"	"2.16087"	"URGCP"	"upregulator of cell proliferation"
"ILMN_3188655"	"0.995"	"0.088041"	"2.16066"	"LOC100128239"	"uncharacterized LOC100128239"
"ILMN_1711628"	"0.995"	"0.088045"	"2.16062"	""	""
"ILMN_1842065"	"0.995"	"0.088048"	"2.1606"	"TSPAN11"	"tetraspanin 11"
"ILMN_1724376"	"0.995"	"0.088096"	"2.16021"	"ERLEC1"	"endoplasmic reticulum lectin 1"
"ILMN_1738684"	"0.995"	"0.088105"	"2.16013"	"NRXN2"	"neurexin 2"
"ILMN_1729217"	"0.995"	"0.088125"	"2.15997"	"FAM131A"	"family with sequence similarity 131 member A"
"ILMN_1653660"	"0.995"	"0.088135"	"2.15989"	""	""
"ILMN_3193238"	"0.995"	"0.088179"	"2.15953"	""	""
"ILMN_2106656"	"0.995"	"0.088286"	"2.15867"	"BLZF1"	"basic leucine zipper nuclear factor 1"
"ILMN_1912130"	"0.995"	"0.088286"	"2.15867"	"LOC101928343"	"uncharacterized LOC101928343"
"ILMN_1656925"	"0.995"	"0.088294"	"2.1586"	""	""
"ILMN_2333367"	"0.995"	"0.088318"	"2.15841"	"FKBP1A"	"FK506 binding protein 1A"
"ILMN_1746164"	"0.995"	"0.08835"	"2.15816"	"SCD5"	"stearoyl-CoA desaturase 5"
"ILMN_1801348"	"0.995"	"0.088362"	"2.15806"	"GOT2"	"glutamic-oxaloacetic transaminase 2"
"ILMN_1718712"	"0.995"	"0.088364"	"2.15804"	"FAM217B"	"family with sequence similarity 217 member B"
"ILMN_2352724"	"0.995"	"0.088382"	"2.1579"	"PIGN"	"phosphatidylinositol glycan anchor biosynthesis class N"
"ILMN_2353862"	"0.995"	"0.08839"	"2.15783"	"DRC3"	"dynein regulatory complex subunit 3"
"ILMN_1725427"	"0.995"	"0.08843"	"2.15751"	"B2M"	"beta-2-microglobulin"
"ILMN_1695251"	"0.995"	"0.088433"	"2.15749"	""	""
"ILMN_1691194"	"0.995"	"0.088473"	"2.15716"	""	""
"ILMN_1899351"	"0.995"	"0.088477"	"2.15713"	""	""
"ILMN_3210914"	"0.995"	"0.088546"	"2.15657"	"NMRAL1P1"	"NmrA like redox sensor 1 pseudogene 1"
"ILMN_2128770"	"0.995"	"0.088549"	"2.15655"	"CDR2L"	"cerebellar degeneration related protein 2 like"
"ILMN_1767665"	"0.995"	"0.088597"	"2.15616"	"GPX8"	"glutathione peroxidase 8 (putative)"
"ILMN_2102693"	"0.995"	"0.088604"	"2.15611"	"NUFIP2"	"NUFIP2, FMR1 interacting protein 2"
"ILMN_1759614"	"0.995"	"0.088611"	"2.15605"	""	""
"ILMN_1784156"	"0.995"	"0.088653"	"2.15571"	"FKTN"	"fukutin"
"ILMN_1715742"	"0.995"	"0.088665"	"2.15562"	"SLC22A1"	"solute carrier family 22 member 1"
"ILMN_1679617"	"0.995"	"0.088694"	"2.15539"	"HLA-DRB4"	"major histocompatibility complex, class II, DR beta 4"
"ILMN_1778831"	"0.995"	"0.088696"	"2.15537"	"NTSR1"	"neurotensin receptor 1 (high affinity)"
"ILMN_1862648"	"0.995"	"0.088702"	"2.15532"	""	""
"ILMN_1659138"	"0.995"	"0.088744"	"2.15498"	"CACNA1F"	"calcium voltage-gated channel subunit alpha1 F"
"ILMN_1722483"	"0.995"	"0.088767"	"2.1548"	"RNF208"	"ring finger protein 208"
"ILMN_1678143"	"0.995"	"0.088786"	"2.15464"	"ARHGDIB"	"Rho GDP dissociation inhibitor beta"
"ILMN_2338323"	"0.995"	"0.088804"	"2.1545"	"CDC25B"	"cell division cycle 25B"
"ILMN_1801632"	"0.995"	"0.088814"	"2.15442"	"KRT5"	"keratin 5"
"ILMN_1767810"	"0.995"	"0.088818"	"2.15439"	""	""
"ILMN_3299383"	"0.995"	"0.088825"	"2.15433"	""	""
"ILMN_1775944"	"0.995"	"0.088825"	"2.15433"	""	""
"ILMN_1797873"	"0.995"	"0.08886"	"2.15405"	"ANKK1"	"ankyrin repeat and kinase domain containing 1"
"ILMN_1734039"	"0.995"	"0.088862"	"2.15404"	""	""
"ILMN_1907266"	"0.995"	"0.088892"	"2.15379"	""	""
"ILMN_3222076"	"0.995"	"0.08893"	"2.15349"	""	""
"ILMN_1657145"	"0.995"	"0.088952"	"2.15331"	"MEOX1"	"mesenchyme homeobox 1"
"ILMN_1730998"	"0.995"	"0.088993"	"2.15298"	"TSPAN6"	"tetraspanin 6"
"ILMN_3284939"	"0.995"	"0.089122"	"2.15195"	""	""
"ILMN_1709032"	"0.995"	"0.089158"	"2.15166"	"FYCO1"	"FYVE and coiled-coil domain containing 1"
"ILMN_3211833"	"0.995"	"0.089229"	"2.1511"	""	""
"ILMN_1912424"	"0.995"	"0.089233"	"2.15106"	""	""
"ILMN_1672122"	"0.995"	"0.089301"	"2.15052"	"P4HTM"	"prolyl 4-hydroxylase, transmembrane"
"ILMN_1730794"	"0.995"	"0.089309"	"2.15045"	"SERTAD4"	"SERTA domain containing 4"
"ILMN_1675560"	"0.995"	"0.089332"	"2.15027"	""	""
"ILMN_3248069"	"0.995"	"0.089348"	"2.15015"	""	""
"ILMN_1701877"	"0.995"	"0.089421"	"2.14956"	"AXL"	"AXL receptor tyrosine kinase"
"ILMN_1756130"	"0.995"	"0.089485"	"2.14905"	""	""
"ILMN_1836469"	"0.995"	"0.089564"	"2.14842"	"BRAF"	"B-Raf proto-oncogene, serine/threonine kinase"
"ILMN_3296741"	"0.995"	"0.0896"	"2.14814"	""	""
"ILMN_1651628"	"0.995"	"0.089652"	"2.14772"	"EXOC6"	"exocyst complex component 6"
"ILMN_3237977"	"0.995"	"0.089703"	"2.14732"	"AVL9"	"AVL9 cell migration associated"
"ILMN_1654570"	"0.995"	"0.089724"	"2.14715"	"TEKT1"	"tektin 1"
"ILMN_1768994"	"0.995"	"0.089743"	"2.147"	"BAGE"	"B melanoma antigen"
"ILMN_1799996"	"0.995"	"0.089744"	"2.14699"	"DHH"	"desert hedgehog"
"ILMN_1865206"	"0.995"	"0.089751"	"2.14694"	""	""
"ILMN_3280126"	"0.995"	"0.089758"	"2.14688"	""	""
"ILMN_1675857"	"0.995"	"0.089759"	"2.14687"	"COL4A6"	"collagen type IV alpha 6 chain"
